Planet,Mass (10^24kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi_major_axis (AU),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?
Mercury,0.33,4879.0 AU,5429,3.7,4.3,1407.6,4222.6,57.9 AU,46.0 AU,69.8 AU,57900000000000.0 AU km,0.24093086926762491 yr,47.4,7.0,0.206,0.034,167,0.0 bar,0,No,Yes
Venus,4.87,12104.0 AU,5243,8.9,10.4,-5832.5,2802.0,108.2 AU,107.5 AU,108.9 AU,108200000000000.0 AU km,0.6151950718685831 yr,35.0,3.4,0.007,177.4,464,92.0 bar,0,No,No
Earth,5.97,12756.0 AU,5514,9.8,11.2,23.9,24.0,149.6 AU,147.1 AU,152.1 AU,149600000000000.0 AU km,0.9998631074606433 yr,29.8,0.0,0.017,23.4,15,1.0 bar,1,No,Yes
Moon,0.073,3475.0 AU,3340,1.6,2.4,655.7,708.7,0.384 AU,0.363 AU,0.406 AU,384500000000.0 AU km,0.07474332648870637 yr,1.0,5.1,0.055,6.7,-20,0.0 bar,0,No,No
Mars,0.642,6792.0 AU,3934,3.7,5.0,24.6,24.7,228.0 AU,206.7 AU,249.3 AU,228000000000000.0 AU km,1.8809034907597535 yr,24.1,1.8,0.094,25.2,-65,0.01 bar,2,No,No
Jupiter,1898.0,142984.0 AU,1326,23.1,59.5,9.9,9.9,778.5 AU,740.6 AU,816.4 AU,778500000000000.0 AU km,11.85763175906913 yr,13.1,1.3,0.049,3.1,-110,nan bar,95,Yes,Yes
Saturn,568.0,120536.0 AU,687,9.0,35.5,10.7,10.7,1432.0 AU,1357.6 AU,1506.5 AU,1432050000000000.0 AU km,29.423682409308693 yr,9.7,2.5,0.052,26.7,-140,nan bar,274,Yes,Yes
Uranus,86.8,51118.0 AU,1270,8.7,21.3,-17.2,17.2,2867.0 AU,2732.7 AU,3001.4 AU,2867050000000000.0 AU km,83.74811772758385 yr,6.8,0.8,0.047,97.8,-195,nan bar,28,Yes,Yes
Neptune,102.0,49528.0 AU,1638,11.0,23.5,16.1,16.1,4515.0 AU,4471.1 AU,4558.9 AU,4515000000000000.0 AU km,163.72347707049965 yr,5.4,1.8,0.01,28.3,-200,nan bar,16,Yes,Yes
Pluto,0.013,2376.0 AU,1850,0.7,1.3,-153.3,153.3,5906.4 AU,4436.8 AU,7375.9 AU,5906350000000000.0 AU km,247.93976728268308 yr,4.7,17.2,0.244,119.5,-225,1e-05 bar,5,No,Unknown
